artist_name;formed_year;country
Radiohead;1991;Abingdon
Adele;2006;Tottenham
David Bowie;1969;London
La Oreja De Van Gogh;1996;San Sebastian
Måneskin;2016;Italian
Maroon 5;2002;California
Belle & Sebastian;1996;Glasgow
Black Sabbath;1969;Birmingham
Duki;;Buenos Aires
Ludovico Einaudi;1980;Turin
Megadeth;1983;San Francisco
Imagine Dragons;2008;Las Vegas
Onerepublic;2002;Colorado Springs
U2;1976;Dublin
Guns N' Roses;1985;Los Angeles
Louis Armstrong;;New Orleans
Vetusta Morla;1998;Madrid
The Offspring;1984;Huntington Beach
Ac/Dc;1973;Sydney
Billie Eilish;2015;Los Angeles
Camela;1994;Madrid
Macaco;1997;Barcelona
Aerosmith;1970;Massachusetts
Bad Religion;1979;Los Angeles
The Weeknd;2010;Toronto
The Cure;1977;Crawley
Marea;1997;Berriozar
Iron Maiden;1975;Leyton
Måneskin;2016;Italian
Drake;2009;Toronto
Joan Manuel Serrat;1965;Barcelona
Robbie Williams;1990;Stoke-on-Trent
Daft Punk;1992;Paris
Phil Collins;1968;Hounslow
Melendi;2001;Oviedo
Queen;1971;London
Slipknot;1995;Des Moines
Ed Sheeran;2010;Halifax
System Of A Down;1994;Glendale
Lorde;2012;Devonport
Red Hot Chili Peppers;1983;Los Angeles
Morat;2015;Bogota
Bruno Mars;2005;Honolulu
Ennio Morricone;1946;Rome
Metallica;1981;Los Angeles
Izal;2010;Madrid
Hans Zimmer;1977;Frankfurt
Frank Sinatra;1935;Hoboken
Texas;1986;Bearsden
The Corrs;1990;Dundalk
Franz Ferdinand;2001;Glasgow
Extremoduro;1987;Plasencia
Coldplay;1996;London
Paco De Lucía;1965;Algesiras
Evanescence;1995;Arkansas
Green Day;1987;East Bay
Radiohead;1991;Abingdon
Arcade Fire;2003;Quebec
Shigeru Umebayashi;1951;Kitakyushu
Nirvana;1988;Washington
Dio;1982;Cortland
